BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8103531104298163,0.6456418247063405,0.45014230669393795,0.7329835817506716,0.6086832590999693,0.4610640457588473,0.6044824212481972,0.4031479572350488,0.21737474145987745
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.809479190119428,0.644735851640803,0.44683017380679313,0.7319936941480667,0.6063051926352352,0.45862193103985943,0.6087762864244073,0.41216470782050585,0.22324128126288711
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8099247585942935,0.644735851643925,0.4486486911842975,0.7313907603303567,0.6054045843294916,0.45877507203455187,0.6056143148444674,0.4068031871450796,0.2164618411117321
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.81118743822991,0.6473702531520228,0.4509984680353585,0.7331960574476416,0.6088345206363159,0.4609160783128309,0.6050170670824095,0.4049612752960638,0.22703579721280653
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8118287874955042,0.6482623668034649,0.45247745503122894,0.7333723626138677,0.6086832590993685,0.4610640457586007,0.6066219501226896,0.4049259678122775,0.21819234119486136
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8116098779934795,0.648262366800147,0.4524774550306424,0.7335807875673607,0.6088345206362349,0.4609160783137732,0.6081439824969475,0.4049612752976609,0.22703579723828593
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8105303193466475,0.6459241405099306,0.4491980420089037,0.7325954553915006,0.606461400464681,0.4584726465719326,0.5986965002484672,0.39954766661998536,0.22031003987285758
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8109549687249002,0.6463419627837242,0.45068539078908276,0.7333723626174895,0.6072033289882114,0.45847264657132614,0.6098543846401482,0.40047952795963626,0.21967039164716856
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.811391270864076,0.6463419627981294,0.450685390789737,0.7333723626132757,0.6086832590988518,0.4610640457581026,0.6106447387562057,0.40848833173416965,0.22409363760562112
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8109680949090443,0.6473702531328577,0.4509984680285779,0.7329835817474046,0.6086832590989512,0.4597710069029867,0.610644738756313,0.403147957236733,0.23076653639730643
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8107983645244117,0.6466151395134819,0.4483322674953162,0.7300799183703386,0.6035241959812934,0.4565504175671441,0.613117582608636,0.4171701056682478,0.22781406357526396
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8103531104249984,0.6456418247061086,0.4501423066483464,0.7313907603246981,0.6054045843277928,0.4587750720332809,0.615563477697726,0.41018567805415607,0.23804241131162834
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8109835475468115,0.6464736325218946,0.45041314643493136,0.731993694142232,0.6070509469385706,0.4586219310382659,0.6150756864281843,0.41875643526555706,0.22850379538976529
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8111874382297177,0.6473702530544728,0.4509984680086955,0.7312125689948581,0.6070509469386568,0.4573169320950198,0.6232162594417726,0.42208037427732725,0.23209221514462108
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8111874382321349,0.6473702530549539,0.4509984680067675,0.7312125689956885,0.6055580958705342,0.45992156661535005,0.6155634776916373,0.41018567805484035,0.23147275566610598
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8116098779901038,0.6477828607871312,0.45232104520947203,0.7325954553885567,0.6072033289882124,0.4584726465701475,0.6155634776914202,0.42052322963730576,0.23147275566051817
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8118287875030172,0.6482623668367383,0.45279113288521594,0.732595455414708,0.6072033289889132,0.4584726465717702,0.621429951558534,0.42052322963965033,0.24456368604137302
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8118472754022701,0.6483323240508653,0.45279113288235673,0.7333723626105386,0.607943944104262,0.4610640457586664,0.6155634776915223,0.4205232296366221,0.23147275565511388
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8113842352439384,0.6463105660292486,0.45052927723134817,0.732595455388469,0.6094212870853248,0.4623518205521117,0.6150756864283551,0.40843680720038356,0.22850379537916604
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8109835475481064,0.646473632573789,0.45131268317015555,0.7322079889203914,0.608683259100598,0.46106404575745086,0.6150756864284167,0.41362663833409435,0.22850379537776883
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8105665864851286,0.6456068941437145,0.44908033081765014,0.7319936941403693,0.6077953723912904,0.45862193103941173,0.6203781118339783,0.41701692023324505,0.22552607913482758
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
0.8046820860905793,0.6368214841429254,0.43868398078266707,0.7258816155842303,0.5990286140537864,0.4492795216409029,0.612602445539275,0.41538420252221,0.23147275531940747
BAYER50,BAYER75,BAYER100,SAN40,SAN50,SAN60,ING15,ING20,ING25
